title,overview,original_language,release_date,vote_average,popularity,vote_count
The Straight Story,"A retired farmer and widower in his 70s, Alvin Straight learns one day that his distant brother Lyle has suffered a stroke and may not recover. Alvin is determined to make things right with Lyle while he still can, but his brother lives in Wisconsin, while Alvin is stuck in Iowa with no car and no driver's license. Then he hits on the idea of making the trip on his old lawnmower, thus beginning a picturesque and at times deeply spiritual odyssey.",en,1999-10-15,7.722,2.15,1645
Nunca jures por la luna,,es,2016-01-01,6.7,2.2107,3
Make Me Believe,Two meddling grannies trick their adult grandkids into a meet-cute that reignites a childhood crush and old grudges.,tr,2023-06-23,6.5,2.6001,118
The Game Changers,"From the UFC Octagon in Las Vegas and the anthropology lab at Dartmouth, to a strongman gym in Berlin and the bushlands of Zimbabwe, the world is introduced to elite athletes, special ops soldiers, visionary scientists, cultural icons, and everyday heroes—each on a mission to create a seismic shift in the way we eat and live.",en,2019-09-16,7.313,1.5883,308
Battle of the Sexes,The true story of the 1973 tennis match between world number one Billie Jean King and ex-champ and serial hustler Bobby Riggs.,en,2017-09-22,6.765,2.1501,1882
Frailty,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to kill people who were in fact ""demons.""",en,2002-04-12,7.0,2.2586,1203
Before I Go to Sleep,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",en,2014-09-03,6.481,2.1279,2045
Frailty,"A mysterious man arrives at the offices of an FBI agent and recounts his childhood: how his religious fanatic father received visions telling him to kill people who were in fact ""demons.""",en,2002-04-12,7.0,2.2586,1203
Before I Go to Sleep,"A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.",en,2014-09-03,6.481,2.1279,2045
Dada,"Manikandan and Sindhu, final year college students, become parents accidentally. Situations separate them, forcing Manikandan to raise his child, Adhithya, as a single parent. What follows is a beautiful tale of a father and son and their journey against all odds.",ta,2023-02-10,7.5,2.0524,14
Music and Lyrics,"A washed-up '80s pop star gets a chance at a comeback when reigning pop diva Cora Corman invites him to write & record a duet with her, but there's a problem--Alex hasn't written a song in years; he's never written lyrics and he has to come up with a hit in a matter of days.",en,2007-02-09,6.439,2.2348,1711
Reunion,"Centers on a murder that takes place at a high school reunion, unfolding during a snowstorm that leaves guests trapped in an isolated mansion.",en,2024-04-13,6.2,2.2068,93
"Hana Saku Heya, Hirusagari no Tsubomi","A story of love and sensuality, directed by the genius Hideo Jojo, starring the sexy actress Yui Hatano. It depicts the sad and beautiful love of a beautiful florist woman who often draws in strangers and is involved with her and her husband who secretly watches over it.",ja,2019-10-02,6.0,2.2254,1
404 Run Run,"Nakrob, a young real estate swindler, discovers an abandoned hillside hotel by the beach. Seeing an opportunity, he decides to turn it into a luxury hotel scam.",th,2024-11-28,7.4,3.0555,8
Tokyo Drifter,"After yakuza boss Kurata dissolves his own criminal empire, a rival kingpin offers a position to Kurata's top operative, Tetsuya ""Phoenix Tetsu"" Hondo. When the fiercely loyal Tetsu declines, Otsuka taps unstoppable Tatsuzo the ""Viper"", a ruthless gun-for-hire, to assassinate him. As the Viper trails his target through the countryside, the agile Phoenix Tetsu grows concerned that one of his former associates has betrayed him.",ja,1966-04-10,7.1,1.9382,192
Pusher,A drug pusher grows increasingly desperate after a botched deal leaves him with a large debt to a ruthless drug lord.,da,1996-08-30,7.005,2.2142,777
Miss Oyu,"Shinnosuke is introduced to Shizu as a prospective marriage partner, but he falls in love with her widowed sister Oyu. Convention forbids Oyu to marry because she has to raise her son as the head of her husband's family. Oyu convinces Shinnosuke and Shizu to marry so that she can remain close to Shinnosuke.",ja,1951-06-22,7.2,2.1854,57
All Night Gaming,"A teenage slacker has only one night to finish a major English assignment, his grades depends on it. He is forced to finish the work over night at a local Internet cafe where he encounters gamers, nocturnal goth-ghouls and drunken Clubbers.",en,2014-01-01,0.0,2.4781,0
Life Like,"An idealistic attractive young couple acquires a stunning, life-like robot for guilt free help, but as the three grow closer, their perception of humanity will be altered forever.",en,2019-05-14,6.2,1.7457,260
Nutty Professor II: The Klumps,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",en,2000-07-27,5.007,1.9464,1334
Bunny the Killer Thing,"A group of Finnish and British people get stuck to a cabin when a creature which is a half human, half rabbit, attacks on them. The creature is Bunny the Killer Thing, and it is after anything that is resembling female genitals.",fi,2015-11-06,4.417,1.7993,72
Fearless Hyena 2,"A pair of evil kung-fu artists, Heaven and Earth, are slaughtering the entire Yin-Yang brotherhood.",cn,1983-03-04,5.7,1.9959,81
Princess and Seven Kung Fu Masters,"During the early years of the Republic era, in the North-East region of China, the people are suffering from the power struggle among the local Warlords, bandits, and Japanese invaders. Warlord Lam (Sammo Hung), is not a leader of great vision, but stands firm in his own beliefs. The only paradise within the region is 'Lucky Town', the one place where no one dared to attack as it was protected by the seven kung fu masters who have resided there. When young patriots, Yan Fang (Rose Chan) who disguised herself as a man, and Howard Luo (Dennis To), infiltrate Tiger's Den at night trying to steal the code book fail in their mission and tries to run, only Yan survives and is rescued by Cheryl. Mistaking Yan as a man, Cheryl falls for Yan. She then brings Yan to Lucky Town and begs the Seven Masters to cure Yan. Cheryl and the Seven Masters are then told of the secret plan by the Japanese, and together, they resolve to fight against Tiger Den and save Warlord Lam.",cn,2013-03-06,5.5,1.4634,7
Murder by Numbers,"Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",en,2002-04-19,6.145,2.0716,1058
Mr. Jones,"In 1933, Welsh journalist Gareth Jones travels to Ukraine, where he experiences the horrors of a famine. Everywhere he goes he meets henchmen of the Soviet secret service who are determined to prevent news about the catastrophe from getting out. Stalin’s forced collectivisation of agriculture has resulted in misery and ruin—the policy is tantamount to mass murder.",en,2019-10-03,6.781,2.5888,423
Children of the Salt,"An elderly father and his two children, survive by harvesting salt from the sea. After the father dies, they live alone. Isolated from the outside world they become increasingly distanced, whilst their lust starts to blossom. Their lives get a lot harder. The brutal reality of harvesting sea salt coincides with their blossoming sexuality. Their lives of solitude drive them further apart whilst awakening lust makes itself known.",es,2017-07-13,4.8,1.1041,5
Enter the Phoenix,"Georgie Hung is handsome, stylish and charming but he hides a secret that his old-fashion father, Hung who is a Triad leader, can never forgive. He has been sent to Thailand since he was a child and never returned. After Hung's death, his right-hand Cheung intends to bring back Georgie to take over. However, Cheung finds Sam, Georgie's flat-mate, whom he mistakes for Geogie...",cn,2004-04-08,6.3,1.6826,43
Pattern,"Five months after the maternal death of his partner, a man is at a crossroads with how to raise their baby.",en,2022-09-16,10.0,0.8814,1
On the Road,"Dean and Sal are the portrait of the Beat Generation. Their search for ""It"" results in a fast paced, energetic roller coaster ride with highs and lows throughout the U.S.",en,2012-05-22,5.614,1.7867,858
One Wonderful Sunday,"Yuzo and his fiancée Masako spend their Sunday afternoon together, trying to have a good time on just thirty-five yen. They manage to have many small adventures, especially because Masako's optimism and belief in dreams is able to lift Yuzo from his realistic despair.",ja,1947-07-01,7.3,2.1898,87
Diary of a Wimpy Kid,Greg Heffley is a scrawny but ambitious kid with an active imagination and big plans to be rich and famous – he just has to survive middle school first.,en,2021-12-02,6.223,2.3453,370
My Führer,"Hitler no longer believes in himself, and can barely see himself as an equal to even his sheep dog. But to seize the helm of the war he would have to create one of his famous fiery speeches to mobilize the masses. Goebbels therefore brings a Jewish acting teacher Grünbaum and his family from the camps in order to train the leader in rhetoric. Grünbaum is torn, but starts Hitler in his therapy ...",de,2007-01-11,5.7,1.7804,104
The Nightingale,"In 1825, Clare, a 21-year-old Irish convict, chases a British soldier through the rugged Tasmanian wilderness, bent on revenge for a terrible act of violence he committed against her family. She enlists the services of an Aboriginal tracker who is also marked by trauma from his own violence-filled past.",en,2018-09-23,7.1,2.3227,600
未亡人銭湯 おっぱいの時間ですよ！,,ja,2010-08-13,0.0,2.1132,0
Madam,"Ma-nim (Kim Jeong-ah-II) becomes a widow after her husband dies from sickness and she arrives at Bukgando to get remarried. Her new husband is a handsome and wealthy man but he is killed by a Japanese even before she spends a night with him. Ma-nim is alone in the big house once again. Everyone by her husband's side leaves and only the grandfather and slave named Bau are left behind. One day, Ma-nim notices that Bau has a way of staring at her and she is overcome by a strange feeling. She'd to oppress her desires as a woman because of her two short marriages and strict identity. Bau had never made love with a woman before but she didn't mind his gaze on her. The two of them start a forbidden love behind grandfather's back...",ko,2015-08-14,5.6,2.1578,8
XXY,"Alex, an intersexed 15-year-old, is living as a girl, but she and her family begin to wonder whether she's emotionally a boy when another teenager's sexual advances bring the issue to a head. As Alex faces a final decision regarding her gender, she meets both hostility and compassion.",es,2007-06-14,6.9,2.1699,302
Ok Jaanu,"Adi and Tara move to Bombay to pursue their dreams. A chance meeting sparks off a heady, no strings attached romance until their careers pull them apart. Will ambition prevail over matters of the heart?",hi,2017-01-12,5.9,1.9219,60
The King's Daughter,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",en,2022-01-21,7.057,2.5537,685
Young Sherlock Holmes,"Sherlock Holmes and Dr. Watson meet as boys in an English Boarding school. Holmes is known for his deductive ability even as a youth, amazing his classmates with his abilities. When they discover a plot to murder a series of British business men by an Egyptian cult, they move to stop it.",en,1985-12-04,6.739,3.1557,649
New Kung Fu Cult Master,"Wudang master Zhang Cuishan who lives in the Shangri-La Ice and Fire Island with his family, away from the dissension and bloodshed, ambushed and leaving his young son Zhang Wuji orphaned.",zh,2022-01-28,4.8,1.8578,24
The English Teacher,"Small-town Pennsylvania schoolteacher Linda Sinclair balances her staid home life with an incredible passion for her subject. Then a former star pupil reenters her life after failing as a playwright in New York City. Seeing in his script the inspiration that she has always longed to instill in her students, this dyed-in-the-wool romantic enlists the help of long-suffering drama teacher Carl to mount the work as the high school’s next and riskiest production.",en,2013-05-16,5.6,1.9822,359
Taking Lives,"Recruited to assist Montreal police in their desperate search for a serial killer who assumes the identities of his victims, FBI profiler Illeana Scott knows it's only a matter of time before the killer strikes again. Her most promising lead is a museum employee who might be the killer's only eyewitness.",en,2004-03-19,6.377,2.4176,1640
Superman: Doomsday,"When LexCorp accidentally unleashes a murderous creature, Superman meets his greatest challenge as a champion. Based on the ""The Death of Superman"" storyline that appeared in DC Comics' publications in the 1990s.",en,2007-09-18,6.7,2.1258,660
Jamon Jamon,"José Luis has a cushy corporate job at the lingerie factory his mom owns. After he falls in love and proposes to Silvia, a beautiful laborer on the underwear assembly line, his mom enlists Raul, a potential underwear model and would-be bullfighter, to seduce Silvia.",es,1992-09-03,6.2,2.2847,364
Blue Spring,"Soon after being named the new leader of his high school's gang system, Kujo grows bored with the violence and hatred that surround him. He wants desperately to abandon his post… but his once-enviable position of power has a strange way of making him feel powerless.",ja,2001-09-09,7.0,2.0945,98
Officer on Duty,"A demoted police inspector investigates a counterfeit jewelry racket, becoming entangled in a dangerous web of crime that puts his life at stake.",ml,2025-02-20,6.3,2.4433,16
Rouge,"Amid the opulent teahouses of 1930s Hong Kong, a humble courtesan and the wayward scion of a wealthy family fall in love and embrace death by suicide pact. Fifty years later, her ghost returns to find him, drawing a young contemporary couple into her quest to rekindle a passion that may be as illusory as time itself.",cn,1987-12-05,7.3,2.3849,71
The Party Bus,"Zac leads a normal life, until the day his world is shaken by the end of his relationship. Suddenly everything that made him confident is gone. In a struggle to gain confidence he takes his friends suggestion and goes to work on a party bus, however he lands right in the middle of the drug scene. While finding his confidence he gets in the way of the main drug dealer, Logan, who seeks revenge on him. Will Zac overcome the drug dealer and save himself, or will he fall victim to the world of drugs?",en,2020-01-01,0.0,0.9538,0
Born to Be King,"Triad member Chicken is designated by Taiwan's San Luen Gang to marry Nanako, the daughter of the fifth generation leader of the Yamada Gang in Japan. Later, the leader of the triad group gets murdered. Actually, all the San Luen Gang members suspect Chicken attacked their leader Liu, in order to make a chance for him to rule the Gang and thus have adopted an extremely hostile attitude towards him.",cn,2000-07-21,6.1,2.0708,37
Branded to Kill,"After botching his latest assignment, a third-ranked Japanese hit man becomes the target of another assassin.",ja,1967-06-15,7.221,1.9741,238
Zero Fucks Given,"Cassandre, 26, is a flight attendant for a low-cost airline. Based in Lanzarote, she’s always willing to take on extra hours and carries out her duties with robotic efficiency. On the side, she just goes with the flow and floats between Tinder, parties and lazy days. When she suddenly gets dismissed, she is forced to return home.",fr,2022-03-02,6.369,1.8317,416
Pavements,"Documentary about the American indie band Pavement, which combines scripts with documentary images of the band and a musical mise-en-scene composed of songs from their discography.",en,2025-05-02,6.8,1.9073,4
Mystery Box: The Amber Green Story,"Intrigued by videos of mystery box openings, Amber orders one for herself from the dark web. Inside lurks an insidious force waiting to be unleashed.",en,2023-06-15,3.0,0.751,1
STILL: A Michael J. Fox Movie,A short kid from a Canadian army base becomes the international pop culture darling of the 1980s—only to find the course of his life altered by a stunning diagnosis. What happens when an incurable optimist confronts an incurable disease?,en,2023-01-20,7.7,1.9959,181
Hearts & Vines,A builder and decorator on a home renovation show end up quarantined during the holidays in the home they are renovating.,en,2021-11-01,2.0,0.8561,1
Money Back Guarantee,"Based on the black market organ trade in America, a young homeless woman, Lisa, and a group of friends must survive the night in a real life house of horrors.",en,2016-11-05,3.0,1.1218,1
Promare,"Galo and the Burning Rescue Fire Department face off against BURNISH, a group of mutants who are able to control and wield flames, and the fire disaster they have unleashed on Earth.",ja,2019-05-24,7.1,1.988,287
The Red Thread,"Seven years after their first infatuated encounter, Abril and Manuel meet again. Despite the fact that they are both married, it is soon apparent that their attraction has only grown.",es,2016-05-19,6.7,2.3792,185
The Amazing Maurice,"Maurice is a streetwise ginger cat who comes up with a money-making scam by befriending a group of self-taught talking rats. When Maurice and the rodents meet a bookworm called Malicia, their little con soon goes down the drain.",en,2022-12-16,6.733,2.085,165
Red Sonja,"The tyrant Gedren seeks the total power in a world of barbarism. She raids the city Hablac and kills the keeper of a talisman that gives her great power. Red Sonja, sister of the keeper, sets out with her magic sword to overthrow Gedren.",en,1985-04-09,5.356,2.2595,859
Code Geass: Lelouch of the Rebellion - Glorification,"A recap of Code Geass: Lelouch of the Rebellion episodes 42–50, with new footage. The Black Knights and the Holy Empire of Britannia finally meet head-on. Meanwhile, Lelouch is confronted with an issue least anticipated: his kid sister Nunnally.",ja,2018-05-01,7.4,1.9759,22
Mothra,"Shipwreck survivors found on the presumably uninhabited Infant Island leads to a scientific expedition that discovers a surviving native population along with the Shobijin, tiny twin fairy priestesses of the island's mythical deity called Mothra. After the fairies are kidnapped by an exploitative businessman named Clark Nelson, Mothra sets out to rescue them.",ja,1961-07-30,7.2,1.8779,170
The Commandant's Shadow,"While Hans Jurgen Höss enjoyed a happy childhood in the family villa at Auschwitz, Jewish prisoner Anita Lasker-Wallfisch was trying to survive the notorious concentration camp. At the heart of this film is the historic and inspiring moment – eight decades later – when the two come face-to-face. This is the first time the descendant of a major war criminal meets a survivor in such a private and intimate setting, Anita’s London living room.  Together with their children, Kai Höss and Maya Lasker-Wallfisch, the four protagonists explore their very different hereditary burdens.",en,2024-05-29,7.6,1.2601,18
Perfectly Single,"A conservative and socially awkward optometrist decides to take a leap of faith on quest for fulfillment in a male companion at the urging of her friends as a last-ditch effort to find happiness. Her arduous journey leads her to a potential young suitor, but more important down a path to self-discovery.",en,2019-06-13,0.0,0.7957,0
House of Wax,"A New York sculptor who opens a wax museum to showcase the likenesses of famous historical figures runs into trouble with his business partner, who demands that the exhibits become more extreme in order to increase profits.",en,1953-04-16,6.942,1.6743,346
The Thieves,"A gang of South Korean thieves team up with a Hong Kong crew to steal a diamond necklace from a heavily-guarded casino safe in Macau. As the cops close in, old betrayals — and misunderstandings — resurface.",ko,2012-07-25,6.7,2.2576,302
Patient Zero,"After an unprecedented global pandemic has turned the majority of humankind into violent infected beings, Morgan, a man gifted with the ability to speak the infected's new language, leads the last survivors on a hunt for patient zero and a cure.",en,2018-09-14,5.3,2.211,381
Renovation,Francisco is unhappy about his body.,pt,2018-09-22,5.8,0.8369,4
A Great Love,Two couples meet at a spa when they realize their respective suites share a bathroom.,it,1995-01-01,2.0,2.1388,1
Happily N'Ever After,"An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",en,2007-01-05,5.0,2.3093,430
Gray People,"Nick, facing mounting pressure from his mother to find a job and desperately trying to own a start-up, enlists the help of his best friend Kyle, a privileged slacker, living his best life. Running out of time and options, the two are presented with an opportunity that they can't refuse.",en,2022-10-27,4.0,0.7838,1
"All's Well, Ends Well",Three brothers living with their father fib and play pranks to win parental approval for themselves and their romances.,cn,1992-01-25,6.9,2.0261,81
The Last Frontier,"The story of the Podolsk cadets’ heroic stand outside Moscow in October 1941. Cadets were sent to the Ilyinsky line, fighting alongside units from the Soviet 43rd Army to hold back the German advance until reinforcements arrived. Hopelessly outnumbered, young men laid down their lives in a battle lasting almost two weeks to obstruct the far superior German forces advancing towards Moscow. Around 3,500 cadets and their commanding officers were sent to hold up the last line of defense outside Moscow. Most of them remained there for eternity.",ru,2020-11-04,6.7,2.2083,83
18 Year Old Actress So-jeong's Ultimate Sex,"Private secret of Na-yeon and Min-woo, the teacher who teaches herself from old times! As Min-woo's grades go up a lot, Na-yeon invites him to her house for a special class. Usually, she is a calm teacher, but her personality changes whenever she touches her body. Meanwhile, Na-yeon had another student named Jae-hyeon, who knows the relationship between Na-yeon and Min-woo and is jealous, but only enjoys the current situation. A special private tutoring class for two students and a female student, which is secretly conducted, is just beginning.",ko,2020-10-16,2.0,1.7999,1
Tell Me Something,"Detective Cho, a cop on the edge, is mourning his mother's recent death while under investigation for graft; on top of that he is suddenly put in charge of a seemingly-impenetrable mystery.",ko,1999-11-13,6.2,2.1065,56
K-19: The Widowmaker,"When Russia's first nuclear submarine malfunctions on its maiden voyage, the crew must race to save the ship and prevent a nuclear disaster.",en,2002-07-19,6.55,2.4519,1071
Baby Assassins: Nice Days,"Teenage assassins Mahiro and Chisato visit the coastal city of Miyazaki for a contract and a vacation when they unexpectedly cross paths with a legendary, bloodthirsty assassin who's looking to add to his kill count.",ja,2024-08-02,8.7,2.0754,18
Do You Believe?,"When a pastor is shaken by the visible faith of a street-corner preacher, he is reminded that true belief always requires action. His response ignites a journey that impacts everyone it touches in ways that only God could orchestrate.",en,2015-03-20,6.474,1.9482,137
The Lair,"Royal Air Force pilot Lt. Kate Sinclair is on her final flight mission when her jet is shot down over one of the most dangerous rebel strongholds in Afghanistan. She finds refuge in an abandoned underground bunker where deadly man-made creatures known as Ravagers — half-human, half-alien, and hungry for human flesh — are awakened.",en,2022-10-28,5.6,2.2112,264
The Seven Darks,A man receives 7 phone calls from a dark entity.,en,2024-02-22,0.0,0.8067,0
Batman Beyond: Return of the Joker,"The Joker is back with a vengeance, and Neo-Gotham's Dark Knight, Terry McGinnis, needs answers as he stands alone to face the old Gotham's most infamous Clown Prince of Crime.",en,2000-12-12,7.325,2.2181,1134
First Sunday,"Durell and LeeJohn are best friends and bumbling petty criminals. When told they have one week to pay a $17,000 debt or Durell will lose his son, they come up with a desperate scheme to rob their neighborhood church. Instead, they end up spending the night in the presence of the Lord and are forced to deal with much more than they bargained for.",en,2008-01-11,5.7,1.8437,246
City Rush 3,Special Agent Ace teams up with Scarlett to take down the clown.,en,2023-01-09,1.5,0.8039,2
Can't Hardly Wait,"It's graduation day at Huntington Hills High, and you know what that means - time to party. And not just any party, either. This one will be a night to remember, as the nerds become studs, the jocks are humiliated, and freshman crushes blossom into grown-up romance.",en,1998-06-12,6.2,2.0339,546
Premonition,"While stopped at a roadside phone booth for transmitting his work through the Internet to the university, Professor Hideki Satomi finds a scrap of newspaper with the picture of his five-year-old daughter Nana in the obituary section.",ja,2004-10-02,6.3,2.3684,124
Rethinking Cancer,"Rethinking Cancer is an educational documentary film that provides a rare look into the psychological and therapeutic journeys of five men and women who used biological alternative cancer therapies to overcome serious illness. Their stories represent successes that mainstream medicine and the public ought to know about.  Four of the featured subjects had been diagnosed with cancer; two of these patients were considered terminal cases. The fifth patient had a severe case of Lyme disease. All five have outlived their diseases, between 15 and nearly 40 years, thus far.",en,2009-01-01,5.0,2.0544,2
The Report,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",en,2019-09-12,7.036,2.0304,1070
Rethinking Cancer,"Rethinking Cancer is an educational documentary film that provides a rare look into the psychological and therapeutic journeys of five men and women who used biological alternative cancer therapies to overcome serious illness. Their stories represent successes that mainstream medicine and the public ought to know about.  Four of the featured subjects had been diagnosed with cancer; two of these patients were considered terminal cases. The fifth patient had a severe case of Lyme disease. All five have outlived their diseases, between 15 and nearly 40 years, thus far.",en,2009-01-01,5.0,2.0544,2
The Report,"The story of Daniel Jones, lead investigator for the US Senate’s sweeping study into the CIA's Detention and Interrogation Program, which was found to be brutal, immoral and ineffective. With the truth at stake, Jones battled tirelessly to make public what many in power sought to keep hidden.",en,2019-09-12,7.036,2.0304,1070
Boxer Rebellion,"Three young martial arts brothers, played by Chi Kuan-chun, Alexander Fu Sheng and Leung Kar-yan, go in search of fellow patriots dissatisfied with Imperialist foreigners and wind up joining a rising sect of the Boxers, led by an opportunistic conman. Named as such for their use of martial arts, these boxers are revolutionaries who believe that spirits protect their bodies from foreign guns. They even dupe the Empress Dowager, who gives them her royal blessing to fight the foreigners.",zh,1976-01-29,6.25,1.8938,12
More Tomcat Tales,"This much anticipated sequel to the 2020 hit film, TOMCAT TALES continues the story and legacy of the one fighter Hollywood loves to feature in their blockbuster movies. MORE TOMCAT TALES showcases phenomenal F-14 footage and iconic cast of officers as they discuss their extraordinary experiences in the legendary Tomcat.",en,2023-12-22,0.0,0.8089,0
League of Gods,"During the reign of King Zhou, an official enters his bedchamber, and is devoured by the monstrous tails of Daji, his concubine. Outside their city, several warriors within a metal wagon discuss their strategies to free the Invisible People and their Chief, when Jiang Ziya appears to them. He tells them that when King Zhou was younger, he let himself become possessed by the Black Dragon for his quest for power.",zh,2016-07-28,5.563,2.6944,160
Little Monsters,A young boy is scared of the monster under his bed. He asks his 6th grade brother to swap rooms for the night as a bet that the monster really exists. Soon the brother becomes friends with the monster and discovers a whole new world of fun and games under his bed where pulling pranks on kids and other monsters is the main attraction.,en,1989-08-25,5.8,2.2476,204
Handsome Guys,"Brothers Jae-pil and Sang-gu move into their dream rustic-style house in the woods. When unwanted visitors arrive and awaken a sealed evil spirit in the basement, a dark aura begins to envelop the house.",ko,2024-06-26,6.6,2.2246,22
13 Demons,"Gary, and his friends who are into gaming, renaissance fairs and various unsavory vices, stumble across a rare, medieval board game called ""13 Demons."" They discover the game has a dark history and was banned from most countries long ago for strange and mysterious reasons including unexplained deaths attributed to the game. The object is to free the Realm of Darkhaven from the 13 Demons of the Apocalypse. They chalk it up to urban legend and decide to play, what they don't know is that the 13 Demons presently walk the Earth disguised as humans. Slowly, the game consumes them, seducing them into believing they are ""The Golden Paladins,"" and are on a holy mission to save the world. But when the news reveals a number of local deaths caused by tree branches, baseball bats, hammers, etc. from assailants adorned in body armor, the thin line between reality and fantasy is shattered and the horrific realization that they are in way over their heads sets in.",en,2016-07-04,3.462,2.0745,13
No,"In 1988, Chilean military dictator Augusto Pinochet, due to international pressure, is forced to call a plebiscite on his presidency. The country will vote ‘Yes’ or ‘No’ to Pinochet extending his rule for another eight years. Opposition leaders for the ‘No’ vote persuade a brash young advertising executive, René Saavedra, to spearhead their campaign. Against all odds, with scant resources and while under scrutiny by the despot’s minions, Saavedra and his team devise an audacious plan to win the election and set Chile free.",es,2012-08-09,7.181,2.353,441
Georgia Rule,"Rebellious, uncontrollable teenager, Rachel is hauled off by her dysfunctional mother to spend the summer with her estranged grandmother, Georgia. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.",en,2007-05-10,5.991,1.8036,445
Vina: Before 7 Days,"Victim of atrocities by motorbike gangs in Cirebon, VINA did not accept that her death was called a single accident. Her spirit enters to reveal the facts. Before 7 Days, what actually happened?",id,2024-05-08,6.1,2.1182,7
Green Is Gold,"A thirteen-year-old boy is forced to live with his estranged brother after their father is sent to prison. Their relationship is soon tested when the older brother's occupation as a marijuana dealer infringes on his ability not only to raise his kid brother, but even to take care of himself. However, through constant tribulations, they discover the only way to get through the difficulties of life is to work together and try to beat the odds.",en,2016-06-06,6.179,0.9786,28
Katenka,"A very old man comes to the provincial town where he spent his youth. The flood of memories takes him far from reality, to which a little girl returns him, like two peas in a pod like his first love.",ru,1988-11-01,5.0,2.6407,1
Yatterman,"Gan and his girlfriend Ai are mild-mannered toy shop owners by day but, when evil lurks, they transform into superheroes Yatterman 1 & 2.  With the help of a dog-shaped robot, Yatterwoof, they take on the Doronbow gang, lead by the sexy Lady Doronjo.  Together, they must stop the evil gang from finding the four magical skull pieces that will allow them to control the world!",ja,2009-02-06,6.187,1.8603,83
The Last Mercenary,A legendary secret service agent comes out of hiding and returns to France to help the son he's never met get out of trouble.,fr,2021-07-30,6.4,1.9035,628
The Wonderful World of Mickey Mouse: Steamboat Silly,Mickey and gang must stop hundreds of old film reel versions of Mickey from wreaking havoc all over town.,en,2023-07-28,7.2,1.798,28
Run Sweetheart Run,A woman runs for her life though the streets of Los Angeles after her blind date suddenly turns violent.,en,2020-01-27,5.6,2.3532,206
Man Bites Dog,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",fr,1992-08-20,7.219,2.1353,951
The Courier,"Ezekiel Mannings, a vicious crime boss, is out to kill Nick, the lone witness set to testify against him. He hires a mysterious female motorcycle courier to unknowingly deliver a poison-gas bomb to slay Nick, but after she rescues Nick from certain death, the duo must confront an army of ruthless hired killers in order to survive the night.",en,2019-11-22,6.0,1.961,545
The Taming of the Scoundrel,"A rich farmer is well known for being very unkind. He's misanthropic, misogynous and cantankerous. Until he meets by chance a gorgeous girl...",it,1980-12-20,7.124,2.2485,470
My Teacher,"Hibiki Shimada, a normal 17-year-old high-school student, still does not know how to fall in love—although surrounded by love ""experts""—until one day she realizes she's fallen in love with her hot and nice 26-year-old teacher, Itō. She then takes a path to make her teacher understand how she feels for him.",ja,2017-10-28,7.3,2.3707,29
All the Names of God,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",es,2023-09-15,6.376,2.0058,137
Happiest Season,A young woman's plans to propose to her girlfriend while at her family's annual holiday party are upended when she discovers her partner hasn't yet come out to her conservative parents.,en,2020-11-26,7.2,2.2502,1245
Space Battleship Yamato Resurrection,"In the year 2220 A.D., the Earth Federation launches a plan to evacuate Earth when discovering that a travelling black hole capable of destroying anything in its path is on course towards the solar system. As the people on Earth prepare to relocate to planet Amare, whose ruler offers refuge, the tyrants known as the ""S.U.S. Empire"" attack the first Earth evacuation fleet. After learning that his wife Capt. Yuki Mori-Kodai disappeared in the battle and that legendary space battleship Yamato has been fully rebuilt, Susumu Kodai accepts command of the ship as he intends to not only help humanity once again, but also find Yuki in the hope of helping his relationship with his daughter Miyuki, who puts the blame on him for her mother's disappearance. But in order to fullfil the mission, the Yamato must go through battles against the SUS Empire, who intend to spoil humanity's hopes of finding a new place to live in and turn Earth into energy for their own selfish needs.",ja,2009-12-12,5.9,2.037,9
